TimeSlice,Hour
S1D1B1,0
S1D1B1,1
S1D1B1,2
S1D1B1,3
S1D1B1,4
S1D1B1,5
S1D1B1,6
S1D1B2,7
S1D1B2,8
S1D1B2,9
S1D1B2,10
S1D1B2,11
S1D1B2,12
S1D1B2,13
S1D1B2,14
S1D1B2,15
S1D1B2,16
S1D1B2,17
S1D1B3,18
S1D1B3,19
S1D1B3,20
S1D1B3,21
S1D1B1,22
S1D1B1,23
S1D2B1,0
S1D2B1,1
S1D2B1,2
S1D2B1,3
S1D2B1,4
S1D2B1,5
S1D2B1,6
S1D2B1,7
S1D2B2,8
S1D2B2,9
S1D2B2,10
S1D2B2,11
S1D2B2,12
S1D2B2,13
S1D2B2,14
S1D2B2,15
S1D2B2,16
S1D2B2,17
S1D2B3,18
S1D2B3,19
S1D2B3,20
S1D2B3,21
S1D2B1,22
S1D2B1,23
S2D1B1,0
S2D1B1,1
S2D1B1,2
S2D1B1,3
S2D1B1,4
S2D1B1,5
S2D1B1,6
S2D1B2,7
S2D1B2,8
S2D1B2,9
S2D1B2,10
S2D1B3,11
S2D1B3,12
S2D1B3,13
S2D1B3,14
S2D1B3,15
S2D1B3,16
S2D1B3,17
S2D1B4,18
S2D1B4,19
S2D1B4,20
S2D1B5,21
S2D1B5,22
S2D1B1,23
S2D2B1,0
S2D2B1,1
S2D2B1,2
S2D2B1,3
S2D2B1,4
S2D2B1,5
S2D2B1,6
S2D2B1,7
S2D2B2,8
S2D2B2,9
S2D2B2,10
S2D2B2,11
S2D2B2,12
S2D2B2,13
S2D2B2,14
S2D2B2,15
S2D2B2,16
S2D2B2,17
S2D2B3,18
S2D2B3,19
S2D2B3,20
S2D2B3,21
S2D2B1,22
S2D2B1,23
S3D1B1,0
S3D1B1,1
S3D1B1,2
S3D1B1,3
S3D1B1,4
S3D1B1,5
S3D1B1,6
S3D1B1,7
S3D1B2,8
S3D1B2,9
S3D1B2,10
S3D1B2,11
S3D1B2,12
S3D1B2,13
S3D1B2,14
S3D1B2,15
S3D1B2,16
S3D1B2,17
S3D1B3,18
S3D1B3,19
S3D1B3,20
S3D1B3,21
S3D1B1,22
S3D1B1,23
S3D2B1,0
S3D2B1,1
S3D2B1,2
S3D2B1,3
S3D2B1,4
S3D2B1,5
S3D2B1,6
S3D2B1,7
S3D2B2,8
S3D2B2,9
S3D2B2,10
S3D2B2,11
S3D2B2,12
S3D2B2,13
S3D2B2,14
S3D2B2,15
S3D2B2,16
S3D2B2,17
S3D2B3,18
S3D2B3,19
S3D2B3,20
S3D2B3,21
S3D2B1,22
S3D2B1,23
